Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2016,"Arts visuals","Ajuntament de Barcelona",Festivals,7,Enfocats,7/5/2016,4/6/2016,745,,"Diversos espais de la ciutat","Centre Cívic Pati Llimona",
2016,Música,"Ajuntament de Barcelona",Festivals,5,"Ermessenda Pop Festival",11/6/2016,11/6/2016,200,,"Centre Cívic Urgell","Centre Cívic d'Urgell",
2016,"Arts escèniques","Titularitat privada",Festivals,15,"Escena Poblenou",20/10/2016,23/10/2016,4630,,"Diversos espais de la ciutat","Assoc. Festival de Creació Contemporània Poblenou",
2016,"Arts visuals","Titularitat privada",Festivals,3,"European Creativity Festival",13/10/2016,15/10/2016,250,,"Diversos espais de la ciutat","Arts Directors Club of Europe (ADCE)",
2016,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"FADfest. The festival of all design",6/6/2016,12/6/2016,10640,,"Museu del Disseny",FAD,
2016,"Arts visuals","Titularitat privada",Festivals,23,"Fem Art",3/6/2016,28/10/2016,470,,"Diversos espais de la ciutat","Col·lectiu FemArt",
2016,Música,"Titularitat privada",Festivals,11,Festigàbal,18/8/2016,19/8/2016,,,,"Assoc. Cultural Heliogàbal",
2016,Lletres,"Titularitat privada",Festivals,2,"Festival Alcools",16/2/2016,3/5/2016,372,,"La Seca Espai Brossa","Sala Becket i Obrador Internacional de Dramatúrgia i la Institució de les Lletres Catalanes",
2016,Audiovisuals,"Titularitat privada",Festivals,7,"Festival Antic Horror Picture Show",31/10/2016,31/10/2016,,,,"Antic Teatre i Guillem Puig",
2016,Audiovisuals,"Ajuntament de Barcelona",Festivals,13,"Festival Barcelona VisualSound",4/3/2016,11/3/2016,461,,"Diversos espais de la ciutat","Ajuntament de Barcelona",
2016,Música,"Titularitat privada",Festivals,2,"Festival Cara - B",19/2/2016,20/2/2016,2300,,"Fabra i Coats","Assoc. Isla Elefante Projectes Culturals",
2016,Música,"Titularitat privada",Festivals,13,"Festival Coral Cantate Barcelona",21/10/2016,24/10/2016,,,,"Music Contact International i Viatges Blanda",
2016,Música,"Titularitat privada",Festivals,7,"Festival Cruïlla",8/7/2016,10/7/2016,47000,,"Parc del Fòrum","Barcelona Events Musicals SL",
2016,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,11,"Festival d'estiu LLIMONADES",22/6/2016,15/7/2016,1100,,"Diversos espais de la ciutat","Centre Cívic Pati Llimona",
2016,"Arts escèniques","Ajuntament de Barcelona",Festivals,13,"Festival Dansat",28/4/2016,1/5/2016,692,,SAT,"saT! Sant Andreu Teatre",
2016,Música,"Titularitat privada",Festivals,14,"Festival de Blues de Barcelona",6/7/2016,17/7/2016,2500,,"Diversos espais de la ciutat","Assoc. Capibola Blues",
2016,Audiovisuals,"Titularitat privada",Festivals,7,"Festival de Cinema en Creative Commons de Barcelona. BccN",11/5/2016,15/5/2016,1200,,"Diversos espais de la ciutat","Assoc. Panorama 180",
2016,Audiovisuals,"Titularitat privada",Festivals,13,"Festival de Cinema i Drets Humans de Barcelona",21/11/2016,1/12/2016,12000,,"Diversos espais de la ciutat","Drets en acció",
2016,Audiovisuals,"Titularitat privada",Festivals,18,"Festival de Cinema Jueu de Barcelona",20/9/2016,1/10/2016,,,,"Assoc. Festival de Cinema Jueu a Barcelona",
2016,"Multidisciplinaris i altres","Titularitat privada",Festivals,14,"Festival de Cultura Raval(s)",11/11/2016,13/11/2016,4300,,"Diversos espais de la ciutat","Fundació Tot Raval",
2016,"Multidisciplinaris i altres","Titularitat privada",Festivals,5,"Festival de Murals de La Escocesa",22/7/2016,23/7/2016,,,,PROVISIONAL,
2016,Música,"Ajuntament de Barcelona",Festivals,21,"Festival de Música als Parcs",8/6/2016,31/8/2016,12000,,,"Ajuntament de Barcelona",
2016,"Arts escèniques","Titularitat privada",Festivals,7,"Festival de Titelles de Barcelona",12/3/2016,13/3/2016,4400,,"Poble Espanyol","PEMSA SAU",
2016,Lletres,"Titularitat privada",Festivals,9,"Festival del Llibre d'Artista i la Petita Edició",19/4/2016,30/4/2016,,,"Diversos espais de la ciutat",ILDE,
2016,Música,"Titularitat privada",Festivals,17,"Festival del Mil·lenni",1/1/2016,20/5/2016,42988,,,"Concert Studio",
2016,Música,"Titularitat privada",Festivals,18,"Festival del Mil·lenni",3/11/2016,31/12/2016,17454,,,"Concert Studio",
2016,"Arts escèniques","Titularitat privada",Festivals,12,"Festival elPetit",5/11/2016,20/11/2016,3600,,"Diversos espais de la ciutat",Imaginart,
2016,Música,"Ajuntament de Barcelona",Festivals,16,"Festival Flamenco Nou Barris",1/7/2016,2/7/2016,,,,"Assoc. Promotora per a la Fundació Catalunya Arte Flamenco",
2016,Música,"Titularitat privada",Festivals,29,"Festival Folk Internacional Tradicionàrius",8/1/2016,18/3/2016,12000,,"Diversos espais de la ciutat","Assoc. Cultural TRAM",
2016,Audiovisuals,"Titularitat privada",Festivals,14,"Festival In-Edit",27/10/2016,6/11/2016,30115,,"Diversos espais de la ciutat","Inedit Producciones",
2016,Audiovisuals,"Titularitat privada",Festivals,4,"Festival Inclús",12/12/2016,18/12/2016,1418,,"CaixaForum Barcelona","Assoc. Inclús",
2016,Música,"Titularitat privada",Festivals,4,"Festival Internacional de Boleros",11/6/2016,18/6/2016,,,,"Comunicamanagers & Mas i Mas",
2016,Música,"Titularitat privada",Festivals,51,"Festival Internacional de Cant Coral a Barcelona",4/7/2016,10/7/2016,3000,,"Diversos espais de la ciutat","Federació Catalana d'Entitats Corals",
