Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2019,Música,"Titularitat privada",Festivals,1,"enciSAT!des ",11/10/2019,21/11/2019,108,,"SAT! sant Andreu Teatre","saT! Sant Andreu Teatre",
2019,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,9,Endorfines,27/6/2019,25/7/2019,590,,"Centre Cultural la Farinera del Clot i Parc de les Glòries","Centre Cultural La Farinera del Clot + Punt d¿Informació i Atenció a les Dones de Sant Martí",
2019,"Arts visuals","Ajuntament de Barcelona",Festivals,10,Enfocats,9/5/2019,30/5/2019,1175,,"Centre Cívic Pati Llimona","Centre Cívic Pati Llimona",
2019,Música,"Titularitat privada",Festivals,2,"Escena Barcelona",15/6/2019,15/6/2019,,,"Sala Apolo",.,
2019,"Arts escèniques","Titularitat privada",Festivals,18,"Escena Poblenou",16/10/2019,20/10/2019,4500,,"Diversos espais de la ciutat","Assoc. Festival de Creació Contemporània Poblenou",
2019,"Arts escèniques","Titularitat privada",Festivals,3,"Escenes de Filosofia i Teatre",17/10/2019,19/10/2019,388,,"Biblioteca de Catalunya","La Maleta de Portbou i La Perla29",
2019,"Arts visuals","Titularitat privada",Festivals,6,"European Creativity Festival",8/11/2019,9/11/2019,321,,"Disseny Hub Barcelona","Arts Directors Club of Europe (ADCE)",
2019,"Arts visuals","Titularitat privada",Festivals,26,"Fem Art",15/11/2019,31/12/2019,,,"Ca La Dona","Col·lectiu FemArt",
2019,Música,"Ajuntament de Barcelona",Festivals,2,"FemPop, el festival que no vol existir",25/5/2019,25/5/2019,150,,"Castell de Montjuïc","Castell de Montjuïc ",
2019,"Arts escèniques","Titularitat privada",Festivals,1,"Festie, el Festival de Teatre Independent",1/1/2019,13/1/2019,,,"Sala Barts","Sala Barts",
2019,Lletres,"Titularitat privada",Festivals,5,"Festival Alcools",1/1/2019,15/5/2019,486,,"Sala Beckett","Sala Becket i Obrador Internacional de Dramatúrgia i la Institució de les Lletres Catalanes",
2019,Lletres,"Titularitat privada",Festivals,6,"Festival Alcools",8/10/2019,31/12/2019,122,,"Sala Beckett","Sala Becket i Obrador Internacional de Dramatúrgia i la Institució de les Lletres Catalanes",
2019,Audiovisuals,"Titularitat privada",Festivals,10,"Festival Antic Horror Picture Show",31/10/2019,31/10/2019,70,,"Antic Teatre","Antic Teatre i Guillem Puig",
2019,Música,"Ajuntament de Barcelona",Festivals,9,"Festival Brot",26/4/2019,25/5/2019,,,"Diversos espais de la ciutat","Ajuntament de Barcelona",
