Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2017,Música,"Titularitat privada",Festivals,5,"LIED Festival Victoria de los Ángeles",20/9/2017,30/11/2017,2200,,"Diversos espais de la ciutat","Fund. Victoria de los Ángeles",
2017,Lletres,"Titularitat privada",Festivals,13,"Literaldia. L'Euskal Herria d'avui, en la literatura",19/4/2017,29/5/2017,,,"Diversos espais de la ciutat","Centre Cultural Euskal Etxea Barcelona",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,1,"Llindars, Festival d'instal·lació i intervenció en l'espai públic",21/10/2017,21/10/2017,120,,"La Escocesa, fàbrica oberta de creació analògica","La Escocesa, fàbrica oberta de creació analògica",
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,6,"Llum BCN",10/2/2017,12/2/2017,,,"Diversos espais","Institut de Cultura. Ajuntament de Barcelona",
2017,"Arts visuals","Titularitat privada",Fires,15,"Loop Fair",25/5/2017,26/5/2017,4120,,,"Screen Projects S.L.",
2017,"Arts visuals","Titularitat privada",Festivals,15,"Loop Festival",18/5/2017,27/5/2017,119120,,"Diveros espais de la ciutat","Screen Projects S.L.",
2017,"Arts escèniques","Titularitat privada",Festivals,1,"Mag Fest Barcelona",7/4/2017,7/5/2017,,,"Diversos espais de la ciutat",7rojoproducciones,
2017,"Arts escèniques","Titularitat privada",Festivals,8,"Màgicus. Festival de Màgia Jove de Barcelona",21/10/2017,29/10/2017,900,,"Diversos espais de la ciutat ","Lluïsos de Gràcia",
2017,Música,"Titularitat privada",Festivals,34,"Maig Coral del Barcelonès",5/5/2017,27/5/2017,3000,,"Diversos espais de la ciutat (Auditori de l'Orfeó Gracienc, Petit Palau del Palau de la Música Catalana, Saló de Cent de l'Ajuntament de Barcelona)","Federació Catalana d'Entitats Corals",
2017,Lletres,"Titularitat privada",Fires,23,"Manga Barcelona",1/11/2017,5/11/2017,148000,,"Fira Barcelona Montjuïc",Ficòmic,
2017,Audiovisuals,Mixta,Festivals,29,"Marató de Cinema Fantàstic i de Terror de Sants",13/11/2017,19/11/2017,2300,,"C.C. Cotxeres de Sants","Aj. de BCN i Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta",
2017,Música,"Ajuntament de Barcelona",Festivals,17,"Marrameu - Festival Jove de Nit d'Ànimes de la Guineueta",31/10/2017,1/11/2017,300,,"Masia de la Guineueta ","Casal de Joves de la Guineueta",
2017,Música,"Titularitat privada",Festivals,14,"Mas i Mas Festival",28/7/2017,3/9/2017,44251,,"Diversos espais de la ciutat","Pelaimas, SL",
2017,Audiovisuals,"Titularitat privada",Festivals,10,"Mecal Air",9/6/2017,23/9/2017,5300,,"Poble Espanyol i Fàbrica Moritz","Assoc.  Mecal",
2017,Audiovisuals,"Titularitat privada",Festivals,19,"Mecal. Festival Internacional de Curtmetratges de Barcelona",14/3/2017,2/4/2017,14600,,"Diversos espais de la ciutat","Assoc.  Mecal",
2017,"Arts escèniques","Ajuntament de Barcelona",Festivals,8,"Mercè Arts de Carrer. MAC",22/9/2017,25/9/2017,333523,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2017,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,6,"Més que Muses. Cicle de Dones Creadores",22/11/2017,29/11/2017,308,,"Centre cultural la Farinera del Clot","Centre Cultural La Farinera del Clot + Punt d¿Informació i Atenció a les Dones de Sant Martí",
2017,Música,"Titularitat privada",Festivals,22,"Minifestival de Música i Cultura Independent de Barcelona",11/3/2017,25/3/2017,270,,"Diversos espais de la ciutat","Assoc.  Minifestival de Música Independent",
2017,"Multidisciplinaris i altres","Titularitat privada",Festivals,7,MIRA,7/11/2017,11/11/2017,6000,,"Diversos espais de la ciutat","NEW MEDIA ARTS S.L",
2017,Audiovisuals,"Titularitat privada",Festivals,7,"MIRADOCS. Barcelona Mirades Documentals",18/1/2017,27/1/2017,,,,"Cineclub Barcelona Espai de Cinema",
2017,Lletres,"Ajuntament de Barcelona",Festivals,13,"Món Llibre",8/4/2017,9/4/2017,20000,,,"Institut de Cultura. Ajuntament de Barcelona",
2017,Audiovisuals,"Titularitat privada",Festivals,3,"Moritz Feed Dog",30/3/2017,2/4/2017,,,"Cines Aribau Club","Inedit Producciones",
