Any,Ambit,Titularitat,Tipus,Edicio,NomDelFestival,DataInici,DataFi,Assistents_a_Barcelona,Assistents_fora_de_Barcelona,Espai,Organitzador,Notes_Dades
2018,Audiovisuals,"Titularitat privada",Festivals,16,"Festival In-Edit",25/10/2018,4/11/2018,,,"Diferents cinemes de la ciutat","Inedit Producciones",
2018,Música,"Titularitat privada",Festivals,2,"Festival Inauditus",19/11/2018,15/12/2018,,,,.,
2018,Audiovisuals,"Titularitat privada",Festivals,6,"Festival Inclús",27/11/2018,2/12/2018,1489,,"CaixaForum Barcelona","Assoc. Inclús",
2018,Música,"Titularitat privada",Festivals,53,"Festival Internacional de Cant Coral a Barcelona",2/7/2018,7/7/2018,1500,,"Església de Santa Maria del Pi i Palau de la Música Catalana","Federació Catalana d'Entitats Corals",
2018,Audiovisuals,"Titularitat privada",Festivals,2,"Festival Internacional de Cine de Barcelona - Sant Jordi",20/4/2018,27/4/2018,,,"Cinemes Verdi","ESPECTARAMA S.A.",
2018,Audiovisuals,"Titularitat privada",Festivals,8,"Festival Internacional de cine Nunes",3/12/2018,13/12/2018,,,,A.I.P.D.A.,
2018,Audiovisuals,"Titularitat privada",Festivals,18,"Festival Internacional de Cinema Gai i Lèsbic de Barcelona",18/10/2018,28/10/2018,2636,,"Filmoteca de Catalunya","Assoc. Cultural FICGLB",
2018,"Arts escèniques","Titularitat privada",Festivals,14,"Festival Internacional de Putxinel·lis d'Hivern",6/12/2018,31/12/2018,914,,"La Puntual","Teatre La Puntual SL",
2018,Música,"Titularitat privada",Festivals,6,"Festival Jardins de Pedralbes",6/6/2018,14/7/2018,59800,,"Jardins del Palau Reial de Pedralbes","Concert Studio",
2018,Música,"Titularitat privada",Festivals,28,"Festival l'Hora del Jazz. Memorial Tete Montoliu",9/9/2018,30/9/2018,6120,,"Plaça de la Vila de Gràcia i Jamboree","Assoc. de Músics de Jazz i Música Moderna de Catalunya",
2018,Música,"Titularitat privada",Festivals,23,"Festival LEM",22/2/2018,27/10/2018,2377,,"Diversos espais de la ciutat","Gràcia Territori Sonor",
2018,Lletres,"Consorci o fundació amb presència administracions públiques",Festivals,,"Festival Literatura en Trànsit",3/10/2018,6/10/2018,265,,"Diversos espais de la ciutat","Biblioteques de Barcelona",
2018,"Multidisciplinaris i altres","Titularitat privada",Festivals,6,"Festival Matsuri",26/5/2018,27/5/2018,23000,,"Moll de la Fusta","Asociación de Cultura Japonesa",
2018,"Multidisciplinaris i altres","Titularitat privada",Festivals,7,"Festival Mixtur",19/4/2018,29/4/2018,1412,,"Diversos espais de la ciutat","Assoc. Col·lectiu Mixtur",
2018,"Arts escèniques","Titularitat privada",Festivals,9,"Festival Mutis. Festival de Teatre Independent de Barcelona",24/2/2018,4/3/2018,2050,,"Diversos espais de la ciutat","La Coquera Teatro",
2018,"Arts escèniques","Titularitat privada",Festivals,2,"Festival Oui! de Théâtre en français",1/2/2018,11/2/2018,,,"Diversos espais de la ciutat","Mise en Lumière",
2018,"Arts escèniques","Titularitat privada",Festivals,4,"Festival Pindoles",3/6/2018,10/6/2018,2419,,"Castell de Montjuïc i Lluïsos de Gràcia","Assoc. Isla Elefante Projectes Culturals",
2018,"Arts escèniques","Consorci o fundació amb presència administracions públiques",Festivals,6,"Festival Sâlmon d'Arts Vives de Barcelona",8/2/2018,25/2/2018,,,,"Mercat de les Flors i Graner",
2018,"Arts escèniques","Titularitat privada",Festivals,2,"Festival Sant Martí de Circ",7/7/2018,8/7/2018,3100,,"Carrer Alfons el Magnànim","Assoc. de Professionals del Circ de Catalunya",
2018,Música,"Titularitat privada",Festivals,6,"Festival Talent",28/6/2018,30/6/2018,1560,,"Diversos espais de la ciutat","Taller de Músics",
2018,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,2,"Festival Tangent",22/6/2018,26/7/2018,,,"Centre Cívic Urgell","Ajuntament de Barcelona",
2018,"Arts visuals","Titularitat privada",Festivals,1,"Festival Unlearning a Barcelona",7/11/2018,10/11/2018,,,"Diversos espais de la ciutat",IIC,
2018,"Arts visuals","Titularitat privada",Fires,4,"Fira d'Art Modern i Antic de Barcelona",28/2/2018,4/3/2018,,,"Reials Drassanes de Barcelona",.,
2018,Lletres,"Titularitat privada",Fires,67,"Fira del Llibre d'Ocasió Antic i Modern",21/9/2018,7/10/2018,,,"Passeig de Gràcia de Barcelona","Gremi de Llibreters de Vell de Catalunya",
2018,Lletres,"Titularitat privada",Festivals,8,"Flic. Festival de literatures i arts infantil i juvenil",23/1/2018,10/3/2018,12000,,"Diversos espais de la ciutat","Assoc. Tantàgora Serveis Culturals",
2018,Audiovisuals,"Titularitat privada",Festivals,13,"Flux. Festival de Vídeo d'Autor",11/12/2018,31/12/2018,,,"Arts Santa Mònica","Habitual Video Team",
2018,Audiovisuals,"Consorci o fundació amb presència administracions públiques",Festivals,16,Gandules,7/8/2018,23/8/2018,4440,,CCCB,CCCB,
2018,Lletres,"Titularitat privada",Festivals,6,"GRAF. Còmic d'autor i edició independent",2/3/2018,4/3/2018,,,"Fàbrica de Creació Fabra i Coats",GRAF,
2018,"Multidisciplinaris i altres","Ajuntament de Barcelona",Festivals,42,"Grec Festival de Barcelona",1/7/2018,31/7/2018,109868,,"Diversos espais de la ciutat","Institut de Cultura. Ajuntament de Barcelona",
2018,Música,"Titularitat privada",Festivals,29,"Guitar Bcn",27/1/2018,16/7/2018,51000,,"Diversos espais de la ciutat ","The Project Music Company",
2018,"Multidisciplinaris i altres","Titularitat privada",Festivals,8,"HOP Festival. Festival de Danses Urbanes",1/1/2018,31/12/2018,8000,,"Mercat de les Flors i diversos espais","Assoc. El Generador art i creació cultural",
2018,Audiovisuals,"Titularitat privada",Festivals,11,"IndiFest Festival de Cinema Indígena de Barcelona",15/11/2018,18/11/2018,320,,"Diversos espais de la ciutat","Alternativa Intercanvi amb Pobles Indígenes",
