iter	Passed	Remaining
902	1766	189
903	1768	187
904	1770	185
905	1772	183
906	1773	181
907	1775	179
908	1777	177
909	1779	175
910	1781	174
911	1783	172
912	1784	170
913	1786	168
914	1788	166
915	1790	164
916	1792	162
917	1794	160
918	1796	158
919	1797	156
920	1799	154
921	1801	152
922	1804	150
923	1805	148
924	1807	146
925	1809	144
926	1811	142
927	1813	140
928	1815	138
929	1817	136
930	1818	134
931	1821	132
932	1823	130
933	1825	129
934	1827	127
935	1829	125
936	1830	123
937	1832	121
938	1834	119
939	1835	117
940	1837	115
941	1839	113
942	1841	111
943	1843	109
944	1844	107
945	1846	105
946	1848	103
947	1850	101
948	1852	99
949	1853	97
950	1855	95
951	1857	93
952	1859	91
953	1860	89
954	1862	87
955	1864	85
956	1866	83
957	1868	81
958	1871	80
959	1873	78
960	1874	76
961	1876	74
962	1878	72
963	1881	70
964	1883	68
965	1884	66
966	1887	64
967	1889	62
968	1891	60
969	1893	58
970	1895	56
971	1896	54
972	1898	52
973	1901	50
974	1902	48
975	1904	46
976	1906	44
977	1908	42
978	1910	40
979	1912	39
980	1913	37
981	1915	35
982	1917	33
983	1919	31
984	1920	29
985	1922	27
986	1924	25
987	1925	23
988	1927	21
989	1929	19
990	1930	17
991	1932	15
992	1934	13
993	1936	11
994	1937	9
995	1939	7
996	1941	5
997	1943	3
998	1945	1
999	1947	0
